horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
11,0.7154193161902169,0.7113960272049008,0.8150024777022888,0.8728348428928181,0.8976273152096932,0.9105082772250815,0.9211864080552297,0.9388721427084421,1.0312378456439755,2.3087949612200003,3.1449760321409936,1.163152801168286,0.7805450996533276,0.6743740438251398,0.6401960429633191,0.6242676809388927,0.6158953774920091,0.6113017470601344,0.6190097250297627,1.0034018356754884
12,0.7180907285745429,0.7205383836793212,0.8258523129580804,0.8834858679306365,0.9082412824919772,0.9200262396028349,0.929178513685227,0.9403938491167328,1.0277494967736087,2.2911888843681867,3.15513183867336,1.1365829214865064,0.768377353348685,0.6681662298796175,0.635076628984188,0.6246635217646694,0.6171130608501993,0.6138856452098815,0.6215233335740898,0.9947339070476541
13,0.7076491528021717,0.7274593084973091,0.8350977406733515,0.8907306803756848,0.9153895145724189,0.9228284301803888,0.9274540527417164,0.9339031576147429,1.0134504823131627,2.266527173058021,3.1878625225382344,1.1218821571767865,0.7570448907747339,0.6636764623773985,0.6379427773684934,0.6276055286366534,0.6217391574075797,0.6204412506551397,0.6279373243478036,0.9933782358882092
14,0.7073369443947186,0.7385042852758138,0.8475504532559236,0.9024989710896862,0.9242693982202349,0.9305761674979035,0.9324230677991352,0.9323253329972023,1.0067130154801145,2.2341629556786327,3.2035786460093623,1.111257633465316,0.7465602200527811,0.6597113503234266,0.6379998515293377,0.6279978443727068,0.6234244305528477,0.6219900286068327,0.6282522423130321,0.9828671610849914
15,0.7061432674106991,0.7409230436696603,0.8495339967331885,0.9033775944551601,0.923881391031053,0.9314314492225002,0.9332548139356687,0.9302133570672627,0.9991465053170024,2.208635035666176,3.2386579884770295,1.0945199513155583,0.7383857290315511,0.6584806949374233,0.6381021792151667,0.6314638033803038,0.6273159505394209,0.6287121528239248,0.6345112978802102,0.9833097978910401
16,0.7058520770716942,0.7472024401256494,0.8570189462424351,0.9124256112425612,0.9354595292216286,0.9413288530518042,0.9421070888053035,0.9368718255790744,1.0038698625491485,2.195646453078159,3.2531866777511005,1.0671922083408425,0.7252103038723817,0.6531599355862638,0.6361844744292583,0.6292811202254094,0.6278812260313659,0.6253868409170625,0.6337474493206908,0.9709870765581672
17,0.6897320072940822,0.7479891944001759,0.860939737994693,0.9166090609412583,0.9356281459898691,0.9397657860326776,0.9386034541202173,0.931966228290979,1.0004538979683468,2.1938597977591514,3.293762552592045,1.0417534635161423,0.7141867514269831,0.6548473368580926,0.6397386567807967,0.6335084923386225,0.631935829469724,0.6302520012421093,0.636952983674141,0.9675146213098924
18,0.6868434522622544,0.7545492918824861,0.8703453078800406,0.9261218145003058,0.9433519485589481,0.9424358648623022,0.9413628828529714,0.9340932610318915,1.0006080231386207,2.22728458283438,3.279859689044415,1.0054718708318613,0.7032924689147326,0.6540685756973624,0.6386284320662361,0.6351058118846592,0.6310298299121065,0.6307210945226293,0.6364082365878092,0.9584175607339872
19,0.6864859424663741,0.7592792845517209,0.8757067782880902,0.9308098804645217,0.946889820840876,0.9428037744498845,0.9389465040938052,0.9304179463271913,0.9952874796994521,2.2231302325313314,3.293231022562371,0.9916341569713955,0.6987298939782689,0.6522794916028998,0.6386646573391662,0.6337734611818941,0.6307816381516846,0.6325160797186942,0.63792157859011,0.9607103761902671
20,0.6934339202321707,0.7716787856580825,0.889682020633185,0.9415350511596131,0.9558522976936203,0.955069465834955,0.945370744788785,0.9347413844700757,1.0038112415384817,2.2547108595019365,3.241117321861045,0.9604835966616692,0.691132869011245,0.6452268059146322,0.6333730162785233,0.6310646659260482,0.6293584939263928,0.6291468191114622,0.635070064363742,0.9581405754343348
pooled,0.6983869540526234,0.666765942102562,0.7602319182643748,0.820192847347143,0.8556010589870118,0.8809653410478685,0.9111150368888327,0.958832273963631,1.108929252390726,2.2386232280214005,3.0215907510529383,1.29845559571008,0.8911891972957009,0.7523992409967046,0.6874886783786929,0.647747314286594,0.6211850286380276,0.6056087818075583,0.6020813879156977,0.9726101708518314
