forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64
11,139744.1042818337,0.8899160575800786,0.9243664689440785,0.8876654330491093,0.8815286106531587,0.9200750009865518,0.6925776686344477,0.6944224476977056,0.692931212894403,0.6921834916700051,0.6938165969308023,0.9359470226931064,0.9482399255411571,1.015213665406427,1.218995578254523,1.1605279508256232
12,144749.69389768995,0.8880898078264653,0.920863010725784,0.886536362008314,0.8805565678077232,0.9202863733192687,0.6955263727279856,0.696116130038971,0.6955533584948619,0.6946852810561143,0.6961016274560387,0.9277938932171502,0.937022523018833,1.0102295778920998,1.218479971425015,1.1467650156970557
13,152142.4901927995,0.8886787808463777,0.9219155376611017,0.8870618120958397,0.8825242749328189,0.9210958012437335,0.7024186834025923,0.7043145727437057,0.7038743425013304,0.7032220201388506,0.7037456683320453,0.9280569991904346,0.9408452808405671,1.0076335864086852,1.2324123357295105,1.14870404039381
14,157434.91610813225,0.8907067681058224,0.9247129924508515,0.8897315997684047,0.8827848233632631,0.9246755318106147,0.7191775467277426,0.7200223268343968,0.7198771299765885,0.719564271706903,0.7215026882619279,0.9136307840634781,0.9350715689311079,0.9997905442943709,1.2314522774063563,1.1381321208721538
15,164751.612979314,0.891756601211688,0.923585357454412,0.891557719890857,0.8864757482499962,0.923940621620108,0.7335715230673092,0.7355417324247061,0.7348005863115217,0.7360436619586291,0.7356187349680847,0.9013195498632358,0.9463576412575375,0.9933880215765848,1.2297188601329851,1.125631242350352
16,163728.0941555562,0.8930027072716299,0.9240946016196915,0.8947034311644917,0.8866425566296731,0.9280239698759155,0.734431017197345,0.737562845286141,0.7373313696682438,0.7354787671958714,0.7357226731952774,0.8826001066832279,0.9426650155115578,0.9806685912236851,1.2122376900911855,1.0929685882365494
17,47886.04647245903,0.9041079367725876,0.9291731423431215,0.8975292830180654,0.892653858340118,0.9342351567820962,0.7361941819066751,0.7381380525851023,0.7383216969383595,0.7379451373969743,0.7350938662368033,0.8760498063454338,0.9479806719267445,0.9888519265692356,1.204600383883327,1.0504714502919958
18,49654.623245206196,0.9021374009376631,0.9296860565876419,0.9005112464563937,0.8983432149356246,0.93686923442229,0.7363657771337127,0.7396209273547176,0.7372369794388886,0.7390463142594272,0.7343100225542809,0.8634955977997658,0.9508922165765578,0.9744016965926801,1.1928171767472646,1.0127223400397571
19,51918.286014738536,0.8937010571302307,0.916944751198519,0.8890881671253497,0.883070675205472,0.9252890931085285,0.7412110612882006,0.7430640011650348,0.7409852332528246,0.7426534996387519,0.7389977393896509,0.8585576609188835,0.9597106208338841,0.969449252579515,1.1918023026717157,0.9896574490188466
20,54494.980238163866,0.8945555692006674,0.9132611522457071,0.8825637015192689,0.8792159016487571,0.9239548671623972,0.748263200641637,0.7505590627598255,0.7491201468369106,0.7482673878332551,0.7488249338368834,0.8508453067888834,0.9564882786413814,0.9751452465532353,1.1835457551558533,0.9745141676565683
